metric_name,metric_value,file,function
Decision Coverage,0.0,D:\Research in Missing Metrics\Python\MC-DC Coverage\workspace\python-tool-testing-pymcdc\scripts\platform_pymcdc_fixup.py,verify_platform_ratios
Condition Coverage,0.0,D:\Research in Missing Metrics\Python\MC-DC Coverage\workspace\python-tool-testing-pymcdc\scripts\platform_pymcdc_fixup.py,verify_platform_ratios
Independent Condition Evaluation,2.0,D:\Research in Missing Metrics\Python\MC-DC Coverage\workspace\python-tool-testing-pymcdc\scripts\platform_pymcdc_fixup.py,verify_platform_ratios
Decision Nodes,1.0,D:\Research in Missing Metrics\Python\MC-DC Coverage\workspace\python-tool-testing-pymcdc\scripts\platform_pymcdc_fixup.py,verify_platform_ratios
Condition Nodes,8.0,D:\Research in Missing Metrics\Python\MC-DC Coverage\workspace\python-tool-testing-pymcdc\scripts\platform_pymcdc_fixup.py,verify_platform_ratios
Covered Decisions,0.0,D:\Research in Missing Metrics\Python\MC-DC Coverage\workspace\python-tool-testing-pymcdc\scripts\platform_pymcdc_fixup.py,verify_platform_ratios
Covered Conditions,0.0,D:\Research in Missing Metrics\Python\MC-DC Coverage\workspace\python-tool-testing-pymcdc\scripts\platform_pymcdc_fixup.py,verify_platform_ratios
Decision Coverage,0.0,D:\Research in Missing Metrics\Python\MC-DC Coverage\workspace\python-tool-testing-pymcdc\scripts\platform_pymcdc_fixup.py,verify_platform_ratios
Condition Coverage,0.0,D:\Research in Missing Metrics\Python\MC-DC Coverage\workspace\python-tool-testing-pymcdc\scripts\platform_pymcdc_fixup.py,verify_platform_ratios
Independent Condition Evaluation,8.0,D:\Research in Missing Metrics\Python\MC-DC Coverage\workspace\python-tool-testing-pymcdc\scripts\platform_pymcdc_fixup.py,verify_platform_ratios
Decision Count,3.0,D:\Research in Missing Metrics\Python\MC-DC Coverage\workspace\python-tool-testing-pymcdc\scripts\verify_100_percent.py,
Condition Count,9.0,D:\Research in Missing Metrics\Python\MC-DC Coverage\workspace\python-tool-testing-pymcdc\scripts\verify_100_percent.py,
Covered Requirements,0.0,D:\Research in Missing Metrics\Python\MC-DC Coverage\workspace\python-tool-testing-pymcdc\scripts\verify_100_percent.py,
Total Requirements,9.0,D:\Research in Missing Metrics\Python\MC-DC Coverage\workspace\python-tool-testing-pymcdc\scripts\verify_100_percent.py,
MC/DC Coverage,0.0,D:\Research in Missing Metrics\Python\MC-DC Coverage\workspace\python-tool-testing-pymcdc\scripts\verify_100_percent.py,
Execution Time,0.00394,D:\Research in Missing Metrics\Python\MC-DC Coverage\workspace\python-tool-testing-pymcdc\scripts\verify_100_percent.py,
Decision Nodes,1.0,D:\Research in Missing Metrics\Python\MC-DC Coverage\workspace\python-tool-testing-pymcdc\scripts\verify_100_percent.py,verify
Condition Nodes,2.0,D:\Research in Missing Metrics\Python\MC-DC Coverage\workspace\python-tool-testing-pymcdc\scripts\verify_100_percent.py,verify
Covered Decisions,0.0,D:\Research in Missing Metrics\Python\MC-DC Coverage\workspace\python-tool-testing-pymcdc\scripts\verify_100_percent.py,verify
Covered Conditions,0.0,D:\Research in Missing Metrics\Python\MC-DC Coverage\workspace\python-tool-testing-pymcdc\scripts\verify_100_percent.py,verify
Decision Coverage,0.0,D:\Research in Missing Metrics\Python\MC-DC Coverage\workspace\python-tool-testing-pymcdc\scripts\verify_100_percent.py,verify
Condition Coverage,0.0,D:\Research in Missing Metrics\Python\MC-DC Coverage\workspace\python-tool-testing-pymcdc\scripts\verify_100_percent.py,verify
Independent Condition Evaluation,2.0,D:\Research in Missing Metrics\Python\MC-DC Coverage\workspace\python-tool-testing-pymcdc\scripts\verify_100_percent.py,verify
Decision Nodes,1.0,D:\Research in Missing Metrics\Python\MC-DC Coverage\workspace\python-tool-testing-pymcdc\scripts\verify_100_percent.py,verify
Condition Nodes,2.0,D:\Research in Missing Metrics\Python\MC-DC Coverage\workspace\python-tool-testing-pymcdc\scripts\verify_100_percent.py,verify
Covered Decisions,0.0,D:\Research in Missing Metrics\Python\MC-DC Coverage\workspace\python-tool-testing-pymcdc\scripts\verify_100_percent.py,verify
Covered Conditions,0.0,D:\Research in Missing Metrics\Python\MC-DC Coverage\workspace\python-tool-testing-pymcdc\scripts\verify_100_percent.py,verify
